"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Internal Heave Power Average [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,42371.77713561045,35877.15715420146,28250.209079347074,25991.00757432181,23337.675137213602,20356.13430888202,14839.97785924652,13970.32719774319,12210.760536562617
[8.0-8.5),,,,,,,,,,48148.72147534366,39184.59615795735,32906.41355377742,26131.00388463314,23572.228580178875,19059.126388890607,15761.415533452297,13261.619018371894,12648.714096176465,10246.685708910758
[7.5-8.0),,,,,,,,,,39710.92609533722,33275.875919707636,28609.194184567237,23280.308192253542,18640.252553894115,16037.599779545684,13993.419976706984,11866.130864913428,10460.531598443298,7930.7966275142435
[7.0-7.5),,,,,,,,,,35001.94598999486,27641.145832790906,23708.68880345695,19711.525422697454,16032.037497683232,13486.895418365932,11393.863949181015,9890.999304603742,8862.617476741892,6520.766413862216
[6.5-7.0),,,,,,,,,,29845.435137063105,24872.448449685035,20070.636759596753,16980.43424384849,13273.85453840229,12224.51740760094,9539.7004326336,8416.002469412648,6919.125183784788,5721.622074373007
[6.0-6.5),,,,,,,,,32125.986105978103,24510.105748587655,20911.770770517393,17083.244938147745,13475.206188939888,11818.447373473839,10059.671885500235,8276.31059500038,6398.915339626667,5608.595752404981,4819.604890359299
[5.5-6.0),,,,,,,,,26916.188512767203,22319.45749330746,17209.309214816964,13623.235206769059,11122.170797641258,9232.87412805506,7717.463182200928,6558.397084247202,4971.648515558622,4442.098739850322,3786.787734383158
[5.0-5.5),,,,,,,,28606.68060785834,22221.18049030549,17899.98982686388,14075.843975117508,10969.966936268205,9209.656823953374,7359.020498339317,6122.75658577602,4871.528150531326,3968.778878500425,3456.8864838119853,2808.7176694553605
[4.5-5.0),,,,,,,,23535.03047292035,17595.502740198364,13414.473931607716,11056.01874690767,8981.213123560334,7087.89835209268,5771.933763294232,4882.742061811216,3812.946584804174,3276.5163254675035,2608.2379077108367,2134.80885696223
[4.0-4.5),,,,,,,24435.81382063434,18556.837707347397,14801.786435007676,10890.069612365938,8827.055018814794,7064.809876478339,5511.446649744775,4437.735800647661,3789.2788566545105,2916.5487407418855,2424.543337743766,1951.1937821871077,1800.8380294480855
[3.5-4.0),,,,,,24237.476316509223,18839.81612953944,14448.552123456398,10540.543560147536,8685.644600740648,6788.195178348169,5289.723786640044,4144.802247814736,3451.5623225238683,2639.4715196118063,2220.667949133603,1797.7671177544757,1439.6070663558967,1266.355080559529
[3.0-3.5),,,,,,18672.79564527733,14631.016747670104,10923.72636135691,8175.97077782953,6232.333426067862,4780.091904128034,3645.4492947794024,2994.8779992962473,2391.331041243605,1889.9194444814782,1567.2463383225172,1300.0422536557016,1004.2137560209338,794.5829631377547
[2.5-3.0),,,,,,13534.950284977602,10273.544293518622,7884.752128062219,6072.086581278261,4353.497972796699,3396.2232042485116,2641.25466490227,2041.5995924051354,1643.5322921713523,1253.8588207248858,1027.9339512683528,841.6660904392686,645.6882002661391,563.6213667095036
[2.0-2.5),,,,,11759.501704543143,9287.19208628048,7028.128557127425,5148.187913254083,3947.6187021606083,3058.991492334399,2238.6484546264924,1686.6452316119519,1277.75008727147,1024.0464566193357,795.299503296389,640.5903540159937,521.5647153064517,398.4274768140077,336.86275504549894
[1.5-2.0),,,,8109.871607639578,7403.05213013368,5809.540087131638,4260.046741663048,3217.6342999981302,2450.586726733437,1779.608054171029,1306.610671803723,978.3328641195395,766.714562465729,594.101874821667,472.4713762856392,371.55973052001895,286.73508287902126,237.20172714761907,191.7106048184905
[1.0-1.5),,,3778.6883524489344,4304.864042207677,3898.029008739345,3163.9231777796567,2314.876410136642,1691.4530603748908,1233.257096773752,901.6047496737258,665.5787888199845,504.21259847694614,390.69688350699164,293.7043236331038,224.09069414831046,179.1025894779994,142.10461982771912,113.28796841344467,90.6712449832424
[0.5-1.0),,897.8149640432697,1394.8739731922142,1599.4940667193425,1508.836281039697,1196.7999513176364,886.0257455498571,660.9455714455928,463.08023771932494,347.6280795331148,246.95016093949647,185.68682189503792,140.65325073282017,106.49240837562138,81.16898361987187,64.1513035271395,50.19519610060744,39.32901648581704,31.36056557281258
[0.0-0.5),17.658855677143787,104.87886215399107,160.97801686341796,188.8817970365251,185.44941224276565,153.5343836979021,116.23757778837688,81.19225293846571,59.206289153971774,42.123732490782935,29.4780694531765,21.644631582632233,16.537240617960897,12.44928498464848,9.530956426731398,7.337368980906576,5.760344617051814,4.516545003145184,3.587365991677812
